filename,doc_type,year,date,mpsi_hybrid,mpsi_keywords,mpsi_finbert,stance,hawkish_kw_count,dovish_kw_count,neutral_kw_count,word_count
fomc_min_20230321.txt,FOMC Minutes,2023,2023-03-21,8.58,28.0,-36.74,Neutral,12,5,8,6361
fomc_st_20230322.txt,FOMC Statements,2023,2023-03-22,23.44,30.77,6.32,Hawkish,6,2,5,323
fomc_min_20230502.txt,FOMC Minutes,2023,2023-05-02,-0.11,20.83,-48.98,Neutral,10,5,9,7192
fomc_st_20230503.txt,FOMC Statements,2023,2023-05-03,22.12,30.0,3.74,Hawkish,4,1,5,289
fomc_min_20230613.txt,FOMC Minutes,2023,2023-06-13,9.19,16.0,-6.71,Neutral,10,6,9,6199
fomc_st_20230614.txt,FOMC Statements,2023,2023-06-14,22.44,30.0,4.8,Hawkish,4,1,5,299
fomc_min_20230725.txt,FOMC Minutes,2023,2023-07-25,5.79,14.81,-15.25,Neutral,11,7,9,5971
fomc_st_20230726.txt,FOMC Statements,2023,2023-07-26,22.81,30.0,6.03,Hawkish,4,1,5,291
fomc_min_20230919.txt,FOMC Minutes,2023,2023-09-19,5.63,16.0,-18.57,Neutral,10,6,9,5782
fomc_st_20230920.txt,FOMC Statements,2023,2023-09-20,22.36,30.0,4.55,Hawkish,4,1,5,293
fomc_min_20231031.txt,FOMC Minutes,2023,2023-10-31,-0.83,12.0,-30.78,Neutral,9,6,10,6017
fomc_st_20231101.txt,FOMC Statements,2023,2023-11-01,22.56,30.0,5.19,Hawkish,4,1,5,299
fomc_min_20231212.txt,FOMC Minutes,2023,2023-12-12,-5.22,15.38,-53.29,Neutral,10,6,10,6061
fomc_st_20231213.txt,FOMC Statements,2023,2023-12-13,13.48,18.18,2.52,Hawkish,4,2,5,310
fomc_min_20240131.txt,FOMC Minutes,2024,2024-01-31,-5.34,10.71,-42.78,Neutral,10,7,11,6021
fomc_st_20240131.txt,FOMC Statements,2024,2024-01-31,0.41,0.0,1.38,Neutral,2,2,7,287
fomc_min_20240319.txt,FOMC Minutes,2024,2024-03-19,0.39,13.33,-29.81,Neutral,12,8,10,6355
fomc_st_20240320.txt,FOMC Statements,2024,2024-03-20,0.32,0.0,1.07,Neutral,2,2,7,281
fomc_min_20240430.txt,FOMC Minutes,2024,2024-04-30,8.14,14.29,-6.21,Neutral,11,7,10,6282
fomc_st_20240501.txt,FOMC Statements,2024,2024-05-01,0.41,0.0,1.37,Neutral,2,2,7,359
fomc_min_20240611.txt,FOMC Minutes,2024,2024-06-11,-11.19,7.69,-55.25,Dovish,9,7,10,5664
fomc_st_20240612.txt,FOMC Statements,2024,2024-06-12,1.52,0.0,5.06,Neutral,2,2,7,295
fomc_min_20240730.txt,FOMC Minutes,2024,2024-07-30,-19.45,-4.76,-53.73,Dovish,5,6,10,5648
